name,organisation,country,url,url_api,description,location,has_issue,issue_type,code_en
Department Of Geodesy And Cartography,Belarus,Belarus,http://belgeodesy.by/,,,"53.9167, 27.55",,,Belarus - Department Of Geodesy And Cartography
Department Of Geographic Survey,Malawi,Malawi,http://www.mines.gov.mw/,,,"-13.95, 33.7",,,Malawi - Department Of Geographic Survey
Department Of Hydrology And Meteorology,Nepal,Nepal,http://dhm.gov.np/,,,"26.5333, 86.7333",,,Nepal - Department Of Hydrology And Meteorology
Department Of Hydrometeorology,Belarus,Belarus,http://pogoda.by/,,,"53.9167, 27.55",,,Belarus - Department Of Hydrometeorology
Department Of Meteorology,Kuwait,Kuwait,http://met.gov.kw/,,,"29.3667, 47.9667",,,Kuwait - Department Of Meteorology
Department Of Meteorology,Sri Lanka,Sri Lanka,http://www.meteo.gov.lk/index.php?lang=en,,,"7.0, 81.0",,,Sri Lanka - Department Of Meteorology
Department Of Meteorology,Uganda,Uganda,http://www.unma.go.ug/,,,"1.0667, 31.8833",TRUE,,Uganda - Department Of Meteorology
Department Of Meteorology,Oman,Oman,http://met.gov.om/,,,"21.4676169, 51.4222324",,,Oman - Department Of Meteorology
Department Of Meteorology,Maldives,Maldives,http://meteorology.gov.mv/,,,"3.2, 73.22",,,Maldives - Department Of Meteorology
Department Of Meteorology And Hydrology,Myanmar,Myanmar,http://www.dmh.gov.mm/,,,"22.0, 96.0",,,Myanmar - Department Of Meteorology And Hydrology
Department Of Meteorology And Hydrology,Lao People's Democratic Republic,Laos,http://dmhlao.etllao.com/,,,"17.9667, 102.6",,,Laos - Department Of Meteorology And Hydrology
Department Of State - Humanitarian Information Unit,United States,United States,https://hiu.state.gov/Pages/Home.aspx,,,"38.8951, -77.0367",,,United States - Department Of State - Humanitarian Information Unit
Department Of Statistics,Jordan,Jordan,http://web.dos.gov.jo/?lang=en,,,"31.95, 35.9333",,,Jordan - Department Of Statistics
Department Of Statistics,Bahamas,The Bahamas,http://statistics.bahamas.gov.bs,,,"25.0667, -77.3333",,,The Bahamas - Department Of Statistics
Department Of Statistics,Singapore,Singapore,http://singstat.gov.sg,,,"1.3, 103.8",,,Singapore - Department Of Statistics
Department Of Statistics,Bermuda,Bermuda,http://govsubportal.com/ministries/2012-02-10-14-05-02/cabinet-office/statistics/statistics-hq,,,"32.3, -64.7833",,,Bermuda - Department Of Statistics
Department Of Statistics,Tonga,Tonga,http://spc.int/prism/tonga/,,,"-21.1333, -175.2",,,Tonga - Department Of Statistics
Department Of Statistics,Lithuania,Lithuania,http://std.lt,,,"55.0, 24.0",,,Lithuania - Department Of Statistics
Department Of Statistics Malaysia,Malaysia,Malaysia,http://statistics.gov.my,,,"3.1333, 101.7",,,Malaysia - Department Of Statistics Malaysia
Department Of Transportation,United Kingdom,United Kingdom,http://www.gov.uk/government/collections/vehicles-statistics,,,"51.5, -0.11667",,,United Kingdom - Department Of Transportation
Departmentof Conservation Open Data-Beta,Departmentof Conservation Open Data-Beta,New Zealand,http://geo.deptconservation.opendata.arcgis.com,,Arcgis OpenData Portal,"-41.4039198598, 173.602614997",TRUE,,New Zealand - Departmentof Conservation Open Data-Beta
Departmentof Education,Departmentof Education,United States,http://data.deptofed.opendata.arcgis.com,,Arcgis OpenData Portal,"38.5156221605, -95.2653828125",,,United States - Departmentof Education
Departmentof Housingand Urban Development,Departmentof Housingand Urban Development,United States,http://egis.hud.opendata.arcgis.com,,Arcgis OpenData Portal,"38.1454963093, -95.2214201167",FALSE,,United States - Departmentof Housingand Urban Development
Dept Of Revenue: Propety Tax Data,United States,United States,http://dor.myflorida.com/dor/property/resources/data.html,,,"30.4381, -84.2816",,,United States - Dept Of Revenue: Propety Tax Data
Dept. Of Ecology - Washington State Coastal Atlas,United States,United States,https://fortress.wa.gov/ecy/coastalatlas/,,,"47.0358, -122.9047",,,United States - Dept. Of Ecology - Washington State Coastal Atlas
Deptof Health& Mental Hygiene GIS Center,Deptof Health& Mental Hygiene GIS Center,United States,http://data.nycdohmh.opendata.arcgis.com,,Arcgis OpenData Portal,"40.7500290996, -73.9901733397",,,United States - Deptof Health& Mental Hygiene GIS Center
Derby Open Data,United Kingdom,United Kingdom,http://www.derby.gov.uk/council-and-democracy/open-data-and-freedom-of-information/open-data/,,,"52.9219, -1.4758",,,United Kingdom - Derby Open Data
Derived Federal Open Data,Derived Federal Open Data,United States,http://open.fedmaps.opendata.arcgis.com,,Arcgis OpenData Portal,"38.1454963093, -95.2214201167",,,United States - Derived Federal Open Data
Deschutes County Data Portal,Deschutes County Data Portal,United States,http://data.deschutes.org,,Arcgis OpenData Portal,"43.9972948195, -120.947",FALSE,,United States - Deschutes County Data Portal
Destatis - Statistisches Bundesamt,Germany,Germany,http://destatis.de,,,"52.5243681651, 13.4105300903",,,Germany - Destatis - Statistisches Bundesamt
Detroit,Detroit,United States,https://data.detroitmi.gov/,,,"42.3528165, -83.1692449",,,United States - Detroit
Deutsche Bahn Open Data,Germany,Germany,http://data.deutschebahn.com/,,,"52.5243681651, 13.4105300903",,,Germany - Deutsche Bahn Open Data
Development Org Open Data,Development Org Open Data,United States,http://data.arcgis4localgov2.opendata.arcgis.com,,Arcgis OpenData Portal,"41.7665780579, -88.1534345819",,,United States - Development Org Open Data
Developmental Therapeutics Program (nci/nih),United States,United States,https://dtp.cancer.gov/databases_tools/data_search.htm,,,"38.8951, -77.0367",,,United States - Developmental Therapeutics Program (nci/nih)
DGPPF,DGPPF,Mexico,http://dgppf.conadesuca.opendata.arcgis.com,,Arcgis OpenData Portal,"23.9439076463, -103.306257674",TRUE,,Mexico - DGPPF
Diputación de Cádiz,OGoov,Spain,https://datosabiertos.dipucadiz.es/,,"Tourism, Transporation, Health","36.5163851, -6.2999767",,,Spain - Diputación de Cádiz
